Encounter,Year ,Month,Date,Manta Individual,Ided by,Name,ID Shot?,Sex,Age Class,Pigmentation,Latitude,Longitude,Time Observed,Water Depth (ft),Water Depth (m),Water Temperature (°F),Water Temperature (°C),Dissolved Oxygen (mg/L),Salinity (ppt),Habitat,Disc Width (ft),Disc Width (m),How Disc Width Measured,Encounter Length (minutes),Behavioral Index,Behavior,Feeding,Somersault/Barrel Roll,Travel Direction,Tide,Within 1 km of inlet,Tide Chart Used,Distance to Closest Inlet (km),Which Inlet,Distance to Closest Pier/Jetty,Which Pier,Within 1 km of Pier or Inlet,New Fishing Gear,Fishing Gear Location,Old Fishing Gear Present,2nd Fishing Gear Location,New Injury?,Injury Location,Injury Cause,Recent?,More Injuries?,Associated Species Analysis,Acoustic Tag,Satellite Tag,Genetic Sample,Mucous Sample,Zooplankton Sample,Dorsal Photo,Ventral Photo,Adopted/Named By,Notes,MM Encounter,Verfied,Resting T/F,Feeding T/F
1,2016,Jun,6/9/2016,1,FMP Survey,,Yes,Male,Immature,Normal,26.840104,-80.041003,11:35,6,1.83,,,,,Hardbottom,6,1.8,Field Estimation,25,2,Traveling,N/A,,South,High,No,LWI,7.9,LWI,6.1,JBP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Mostly travelling directly over sandy bottom, ventral surface mostly white with few spot, many scratches on posterior dorsal surface. Unrolled and rolled cephalic fins",,,0,1
2,2016,Jun,6/9/2016,2,FMP Survey,Rocco,Yes,Male,Immature,Normal,26.845161,-80.041971,12:12,6,1.83,,,,,Hardbottom,5,1.5,Field Estimation,23,2,Traveling,N/A,,North,High,No,LWI,8.45,LWI,5.5,JBP,No,No,N/A,,N/A,Yes,Dorsal,Propellor,Recent,,Yes,No,No,No,,,Yes,Yes,,"Prop scars begin at posterior of anterior white patches and continue to caudal area, deeper the more posterior. Tail missing.  Allowed me to swim directly above him",,,0,0
3,2016,Jul,7/6/2016,3,FMP Survey,Rip,Yes,Male,Immature,Normal,26.764012,-80.034113,9:45,6,1.83,,,,,Sand,5,1.5,Field Estimation,70,1,Feeding,Bottom,,North,High,Yes,LWI,0.8,LWI,0.8,LWI,Yes,No,N/A,,N/A,Yes,Pectoral Fin,Unknown,Healed,,Yes,No,No,No,,,Yes,Yes,,"Spotted manta 3 at 9:25 on sandy bottom between beach and inshore reef.  Swimming with mouth open and cephalic lobes unrolled, appears to be feeding.  Tear in left posterior lateral pectoral fin. Two scars (not extremely old- can still see tissue) on left side of head.  Entered water with manta multiple time.  This manta was not very relaxed with us and did not easily allow close approach.  Left manta at 11:25.  Spotted this manta again from 11:25 to 11:35 in same location.  Swam into very shallow water (~3').   Resighted a third time from 1510-1530.  This time the manta was in deeper water (10-20'). 2/6/22 VF classified behavior as bottom feeding from multiple videos of manta swimming with unrolled CFs on bottom.",,,0,0
4,2016,Jul,7/14/2016,4,FMP Survey,Meagan,Yes,Female,Unknown,Normal,26.688338,-80.032196,10:46,5,1.52,,,,,Hardbottom,6,1.8,Field Estimation,63,2,Traveling,N/A,,South,Low,No,LWP,8.8,LWI,8.5,LWP,No,Yes,"No Hook Visible, Line Entanglement",,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Spotted at 1046 south of the Breakers in about 5' of water. After I entered water began traveling offshore into 15-20' of water. Polypro wrapped around mouth and entire body and the mouth of remora.  Viz in shallow water was <10' and in deeper water 30-40'. Left her at 1143 and spotted again from 1153-1204 in shallow water (6').  On our way back north spotted her again, north of Lake Worth pier. She was still traveling south in 12-14' of water.  When I entered water with her and dove down she remained motionless letting me unwrap line from her body, but the line was still secured in the remora's mouth.  Allowed me to dive down multiple times.  She performed this behavior again, resting with pec fins lifted and allowed Bryant to cut line. He was able to completely free the line from the remora and manta. We left her at 1419 as she was about to go under the Lake Worth pier.",,,0,0
5,2016,Jul,7/14/2016,5,FMP Survey,Niki,Yes,Female,Unknown,Normal,26.629714,-80.034757,12:17,8,2.44,,,,,Hardbottom,6,1.8,Field Estimation,28,3,Traveling,N/A,,North,Flood,No,LWP,9.6,BBI,1.9,LWP,No,No,N/A,,N/A,Yes,Pectoral Fin,Unknown,Healed,,Yes,No,No,No,,,Yes,Yes,,"Spotted manta 5 at 1217 in 8-10' travelling north.  As I entered water, manta headed inshore, as shallow as 3' into water with bad visibility. In the shallow water, the manta was swimming rather fast away from me. She then traveled offshore into about 20' of water.  When Braynt was in water she turned her ventral side to him.  When I entered water after him, she swam up to me and turned her ventral side to me and swam upside down, directly underneath me (have video from surface).  She was about 2-4' away from me swimming in small circles for 2-3 minutes.  She has some scarring on left pectoral fin (appears to be from prop).  A really cool encounter.  We left her at 1245 and she was swimming in a northerly offshore direction into deeper water.",,,0,0
6,2016,Aug,8/10/2016,6,FMP Survey,Stevie Nicks,Yes,Female,Unknown,Normal,26.577090,-80.036807,14:51,6,1.83,,,,,Sand,6,1.8,Field Estimation,44,2,Traveling,N/A,,North,Flood,No,BBI,3.6,BBI,3.6,BBI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Spotted manta south of Dune Deck in Lake Worth at 1451 in 6 ft.  Jessica entered water as she swam offshore into ~20 ft of water.  When Jess dove down, she displayed ventral side to me and checked me out for ~10 sec before resuming swimming. Alternated between swimming just off bottom and just below surface.  Cephalic lobes were unrolled when I entered water and she unrolled and rolled them during encounters.  Bryant notes that she swam towards surface near Sargassum line.  After Bryant entered water, she swam towards shore and swam along beach (very close!) in ~3 ft.  She was swimming just faster than us in a northbound direction.  We left her at 1535 still swimming north just off the beach.  Had to end encounter due to impending storms.",,,0,1
7,2016,Aug,8/18/2016,7,FMP Survey,,Yes,Female,Unknown,Normal,26.677402,-80.033583,10:30,7,2.13,,,,,Sand,6,1.8,Field Estimation,20,2,Traveling,N/A,,North,Ebb,No,LWP,10,LWI,7.2,LWP,No,Yes,"No Hook Visible, Line Entanglement",,N/A,Yes,,Fishing Line,Healed,,Yes,No,No,No,,,Yes,Yes,,"Spotted Manta 7 at 1030 in 7 ft of water (near TTP?). Fishing line wrapped around body twice from mouth to tail. On posterior left pectoral fin fishing line is digging into tissue. Two nicks on posterior left pectoral fin. Tail looks 'wonky' not straight. Several scratches on dorsum (from fishing line?)  Cephalic lobes were unfolded and she appeared to be feeding. ~3 ft of fishing line trailing past her body.  I grabbed onto line and attempted to cut it away, but she spooked (I evidently hurt her when I pulled on the line) and we were unable to locate her again.  Last seen at 1050. Searched for 40 minutes before resuming survey.",,,0,1
8,2016,Aug,8/18/2016,8,FMP Survey,,Yes,Male,Immature,Normal,26.677402,-80.033583,11:40,4,1.22,,,,,Sand,6,1.8,Field Estimation,85,2,Feeding,Bottom,,None,Ebb,No,LWP,10.9,LWI,6.1,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Spotted Manta 8 at 1140 in 4 ft of water.We found him in very shallow, very stirred up water (viz less than 5 ft).  Circling with cephalic lobes unfolded, apparently feeding. Swimming just over bottom in nearshore waves.  When I was taking Bryant for a drop, I saw him do an underwater flip exposing his ventral side to the water surface. During the entire encounter he constantly changed directions, but did not appear overly concerned about us or the boat. Manta 8 had a dark dorsum and scars just anterior and left of dorsal fin. Small remora on tail. Spotted Manta 8 again at 1334 in approximately same location.  He was in 4 ft of water, but during this encounter he would swim east into deeper water (10 ft) where the viziblity was better. When I was driving Bryant to get in water, Manta 8 breached (jumped and landed on ventral side, CLs rolled) close to the boat (didn't get a photo!!). Still displaying same behavior, constantly changing directions with cephalic lobes unrolled when we left at 1404. 2/6/22 VF classified bahavior as bottom feeding based on videos of manta swimming with unrolled CFs, mouth open and gill slits open on bottom.",,,0,0
9,2016,Aug,8/22/2016,9,FMP Survey,Kevin,Yes,Male,Immature,Normal,26.634161,-80.035937,14:21,4,1.22,,,,,Sand,6,1.8,Field Estimation,24,2,Feeding,Bottom,,None,Ebb,No,LWP,10.1,BBI,2.4,LWP,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Spotted manta at 1421 in 4 ft very close to shore. Orginally swimming south but as we got int the water continually switched directions someitmes swimming a little offshore into 5 ft. Stayed very close to shore (almost on beach someitmes!) most of the time, even swimming very close to people sitting in shallows.  Cephalic lobes were unrolled most of the time with full gills, likely feeding. When Bryant was in water (5 ft) Manta 9 showed ventral side to him and inspected him for ~30 secs.  Left Manta 9 swimming south at 1455. Looked for hiim again on way back north and didn't see him. 2/6/22 VF classified bahavior as bottom feeding based on videos of manta swimming with unrolled CFs, gill slits open on bottom.",,,0,0
10,2016,Sep,9/22/2016,10,FMP Survey,Salmon,Yes,Male,Immature,Normal,26.559428,-80.040347,10:54,5,1.52,,,,,Sand ,6,1.8,Field Estimation,27,1,Traveling,N/A,,North,Flood,No,BBI,1.6,BBI,1.6,BBI,No,No,N/A,,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,,,Yes,Yes,,"Found this manta at 1054 in 5' heading Nbound orginally, but kept switching directions as we tried to get in water. Dylann got in first and swam with manta in 3-5 ft. Manta 10 then swam offshore into ~20 ft and Jess got in water and got dorsal videos..  Lost manta in glare at 1115 Found Manta 10 again (in pretty much same location). He was still traveling N, but kept switching directions when boat was near. Jess got in in 3ft and had quick encounter with a ventral flash. We lost him again swimming offshore at 1201. Searched but couldn't locate him.",,,0,0
